epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7410.19,1.0844,0.52585,1.4966,0.97951,0.94887,0.97963,0.68961,1.13622,0.4069,1.59092,0.005842,0.005842,0.005842
44,7581.01,1.08283,0.52278,1.48919,0.9787,0.94981,0.98037,0.69086,1.13453,0.40497,1.58979,0.005743,0.005743,0.005743
45,7753.41,1.08368,0.52072,1.49201,0.97992,0.94887,0.979,0.69075,1.13369,0.40413,1.58955,0.005644,0.005644,0.005644
46,7924.89,1.07736,0.51835,1.49146,0.98008,0.94794,0.97894,0.69193,1.133,0.40259,1.58871,0.005545,0.005545,0.005545
47,8096.47,1.07457,0.51349,1.4799,0.97968,0.94969,0.97937,0.69157,1.13131,0.40237,1.588,0.005446,0.005446,0.005446
48,8267.96,1.07331,0.50906,1.48663,0.97969,0.95047,0.9798,0.69181,1.13093,0.40089,1.58779,0.005347,0.005347,0.005347
49,8439.48,1.06778,0.50922,1.47708,0.97735,0.95119,0.97966,0.692,1.12985,0.40015,1.58747,0.005248,0.005248,0.005248
50,8611.37,1.07165,0.51111,1.48512,0.9771,0.95122,0.98006,0.69245,1.12944,0.39923,1.5872,0.005149,0.005149,0.005149
51,8782.73,1.06666,0.50758,1.47449,0.97463,0.95513,0.98045,0.6929,1.12881,0.39799,1.5861,0.00505,0.00505,0.00505
52,8954.44,1.06443,0.50591,1.47942,0.97601,0.95419,0.97998,0.6926,1.12734,0.39826,1.58487,0.004951,0.004951,0.004951
53,9126.16,1.05882,0.50453,1.4763,0.97552,0.95337,0.97993,0.69417,1.12662,0.39742,1.58421,0.004852,0.004852,0.004852
54,9297.69,1.05619,0.50202,1.46607,0.9773,0.9531,0.97999,0.6944,1.12643,0.39608,1.58385,0.004753,0.004753,0.004753
55,9469.02,1.05144,0.49291,1.46446,0.97721,0.95216,0.97983,0.69497,1.12605,0.39542,1.58333,0.004654,0.004654,0.004654
56,9641.68,1.0551,0.49814,1.46469,0.97459,0.95357,0.97966,0.69426,1.12513,0.39482,1.58269,0.004555,0.004555,0.004555
57,9812.71,1.05028,0.49854,1.45525,0.97458,0.95321,0.97961,0.69469,1.12447,0.39518,1.5821,0.004456,0.004456,0.004456
58,9984.56,1.0502,0.49507,1.46749,0.97764,0.95263,0.97973,0.69485,1.12424,0.39481,1.58188,0.004357,0.004357,0.004357
59,10156.2,1.04364,0.49137,1.45684,0.97773,0.95216,0.97981,0.69556,1.12345,0.39409,1.5811,0.004258,0.004258,0.004258
60,10328.7,1.0387,0.48822,1.4544,0.9759,0.95356,0.97975,0.69573,1.12318,0.3937,1.58103,0.004159,0.004159,0.004159
61,10499.7,1.03809,0.48764,1.4529,0.97734,0.95216,0.98023,0.69593,1.12256,0.39284,1.58062,0.00406,0.00406,0.00406
62,10672.3,1.03441,0.47791,1.44933,0.98033,0.95169,0.98052,0.69577,1.12183,0.39202,1.57966,0.003961,0.003961,0.003961
63,10843.3,1.03819,0.48256,1.45346,0.97601,0.95356,0.98053,0.69697,1.12177,0.39071,1.57923,0.003862,0.003862,0.003862
64,11016.2,1.0339,0.47588,1.44346,0.97556,0.95479,0.98057,0.69672,1.12128,0.39007,1.57862,0.003763,0.003763,0.003763
65,11187.2,1.02432,0.47423,1.43695,0.97314,0.95966,0.98067,0.69759,1.12045,0.38963,1.57797,0.003664,0.003664,0.003664
66,11360.3,1.02669,0.47437,1.43805,0.97429,0.95976,0.98066,0.69759,1.1199,0.39002,1.57742,0.003565,0.003565,0.003565
67,11532.1,1.02382,0.47039,1.4346,0.97369,0.95919,0.98056,0.69782,1.11914,0.38966,1.5765,0.003466,0.003466,0.003466
68,11704.8,1.02416,0.47346,1.43812,0.97424,0.95781,0.98059,0.69701,1.11841,0.38871,1.57583,0.003367,0.003367,0.003367
69,11877,1.01557,0.46621,1.43016,0.97742,0.95419,0.98071,0.69739,1.11762,0.38829,1.57495,0.003268,0.003268,0.003268
70,12049.8,1.01387,0.46106,1.42397,0.97739,0.9545,0.98101,0.69735,1.11712,0.38812,1.57453,0.003169,0.003169,0.003169
71,12222.3,1.01323,0.46235,1.42459,0.97829,0.95403,0.98102,0.69803,1.11671,0.38768,1.57398,0.00307,0.00307,0.00307
72,12394.9,1.00754,0.4603,1.42555,0.97878,0.95403,0.98113,0.69877,1.11635,0.38653,1.57352,0.002971,0.002971,0.002971
73,12568,0.99592,0.45717,1.41126,0.97975,0.95312,0.98117,0.6987,1.11608,0.3855,1.5735,0.002872,0.002872,0.002872
74,12741.2,1.00709,0.45749,1.4208,0.97516,0.95739,0.98137,0.69876,1.11548,0.3855,1.57322,0.002773,0.002773,0.002773
75,12914.9,1.00031,0.45533,1.41782,0.97972,0.95174,0.98139,0.69988,1.11511,0.38478,1.5729,0.002674,0.002674,0.002674
76,13087.9,0.99839,0.45552,1.41123,0.9797,0.95216,0.98147,0.70024,1.11483,0.3848,1.57238,0.002575,0.002575,0.002575
77,13261.1,0.9974,0.45058,1.41481,0.98067,0.95184,0.98156,0.70039,1.11465,0.38427,1.57208,0.002476,0.002476,0.002476
